"masseyYearEnd","Team"
"102","Air Force"
"114","Akron"
"1","Alabama"
"130","UAB"
"63","Appalachian St"
"68","Arizona"
"55","Arizona St"
"76","Arkansas"
"100","Arkansas St"
"46","Army"
"9","Auburn"
"233","Ball St"
"110","Baylor"
"36","Boise St"
"34","Boston College"
"169","Bowling Green"
"120","BYU"
"101","Buffalo"
"71","California"
"8","UCF"
"96","C Michigan"
"125","Cincinnati"
"7","Clemson"
"172","Coastal Car"
"83","Colorado"
"97","Colorado St"
"135","Connecticut"
"39","Duke"
"122","East Carolina"
"108","E Michigan"
"64","Florida"
"43","FL Atlantic"
"111","Florida Intl"
"30","Florida St"
"48","Fresno St"
"2","Georgia"
"178","Ga Southern"
"124","Georgia St"
"40","Georgia Tech"
"177","Hawaii"
"61","Houston"
"139","Idaho"
"146","Illinois"
"57","Indiana"
"17","Iowa"
"22","Iowa St"
"167","Kansas"
"31","Kansas St"
"219","Kent"
"53","Kentucky"
"155","ULL"
"145","ULM"
"21","LSU"
"88","Louisiana Tech"
"29","Louisville"
"87","Marshall"
"65","Maryland"
"121","Massachusetts"
"37","Memphis"
"18","Miami FL"
"132","Miami OH"
"28","Michigan"
"13","Michigan St"
"94","MTSU"
"69","Minnesota"
"50","Mississippi"
"14","Mississippi St"
"51","Missouri"
"54","Navy"
"73","Nebraska"
"143","Nevada"
"129","UNLV"
"159","New Mexico"
"106","New Mexico St"
"77","North Carolina"
"16","NC State"
"91","North Texas"
"82","N Illinois"
"15","Northwestern"
"10","Notre Dame"
"75","Ohio"
"3","Ohio St"
"5","Oklahoma"
"11","Oklahoma St"
"152","Old Dominion"
"59","Oregon"
"173","Oregon St"
"6","Penn St"
"49","Pittsburgh"
"38","Purdue"
"229","Rice"
"89","Rutgers"
"58","San Diego St"
"202","San Jose St"
"157","South Alabama"
"24","South Carolina"
"33","South Florida"
"84","SMU"
"107","Southern Miss"
"32","Stanford"
"62","Syracuse"
"66","Temple"
"85","Tennessee"
"27","Texas"
"42","Texas A&M"
"12","TCU"
"127","UT San Antonio"
"212","Texas St"
"47","Texas Tech"
"288","UTEP"
"67","Toledo"
"52","Troy"
"90","Tulane"
"118","Tulsa"
"70","UCLA"
"226","Charlotte"
"19","USC"
"45","Utah"
"112","Utah St"
"74","Vanderbilt"
"72","Virginia"
"25","Virginia Tech"
"26","Wake Forest"
"20","Washington"
"41","Washington St"
"44","West Virginia"
"158","WKU"
"103","W Michigan"
"4","Wisconsin"
"81","Wyoming"
